Product,Total Sales,Avg Monthly,Forecast,Growth
KA ais-3700,275148630,275148630.0,302663493.0,↑ 10%
KA gre-2749,272771307,272771307.0,300048437.70000005,↑ 10%
KA earth-3018,205221906,205221906.0,225744096.60000002,↑ 10%
AS ais-7331,149925931,149925931.0,164918524.10000002,↑ 10%
KA grou-7567,137130583,137130583.0,150843641.3,↑ 10%
KA ice-7591,135723531,135723531.0,149295884.10000002,↑ 10%
KA ai-2818,133328056,133328056.0,146660861.60000002,↑ 10%
KA air-9558,126232913,126232913.0,138856204.3,↑ 10%
AS gre-2748,123188455,123188455.0,135507300.5,↑ 10%
AS air-7520,114430868,114430868.0,125873954.80000001,↑ 10%
